market,company_count,avg_efficiency_score,avg_funding,acquired_count,closed_count
 Testing ,7,42.61,51470523.14,1,0
 Video on Demand ,5,41.08,14158098.0,2,0
 Direct Marketing ,5,40.08,10607387.8,0,0
 Gps ,7,38.26,6316005.14,2,0
 Monetization ,7,37.94,21067529.43,2,0
 Blogging Platforms ,13,37.61,9983961.85,4,0
 Social Recruiting ,7,37.35,12607142.86,1,0
 Navigation ,5,37.12,37241470.2,2,0
 Browser Extensions ,6,36.03,34004166.67,2,0
 Translation ,6,36.01,11692696.67,1,0
 Data Integration ,13,35.6,26148358.62,4,0
 Social Media Monitoring ,7,35.52,7346194.57,1,0
 Cloud Management ,16,35.48,25647354.0,6,0
 Web Design ,11,35.45,1613636.36,2,0
 Displays ,12,35.43,43455010.25,4,0
 Online Dating ,9,35.42,1513555.56,1,0
 Language Learning ,8,35.3,8313750.0,0,0
 Web CMS ,8,35.25,49122500.38,1,0
 Health and Insurance ,5,35.23,8529439.4,0,0
 Content Creators ,5,35.21,201914000.0,0,0
